Se guardó el mensaje: a, en el datanode:1
Se guardó el mensaje: b, en el datanode:2
Se guardó el mensaje: c, en el datanode:2
Se guardó el mensaje: d, en el datanode:3
Se guardó el mensaje: e, en el datanode:3
Se guardó el mensaje: f, en el datanode:3
Se guardó el mensaje: g, en el datanode:1
Se guardó el mensaje: h, en el datanode:2
Se guardó el mensaje: i, en el datanode:3
Se guardó el mensaje: j, en el datanode:3
Se guardó el mensaje: k, en el datanode:1
Se guardó el mensaje: l, en el datanode:3
Se guardó el mensaje: m, en el datanode:3
Se guardó el mensaje: n, en el datanode:3
